SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,1731 Partridge Run,Bentonville,AR,72712,558800,4,3.5,Quailridge Ph-1,2977,10890,2007,1,188,33,Active,,,https://www.redfin.com/AR/Bentonville/1731-Partridge-Run-72713/home/115856981,NWARMLS,1245712,N,Y,36.3406047,-94.2551495
MLS Listing,,Single Family Residential,1051 Boardwalk Ave,Centerton,AR,72719,229900,3,2.0,FEATHERSTON VILLAGE PH 1-CENTERTON,1100,2613,2023,1,209,75,Active,,,https://www.redfin.com/AR/Centerton/1051-Boardwalk-Ave-72719/home/181971930,NWARMLS,1246023,N,Y,36.3505,-94.267989
MLS Listing,,Single Family Residential,6707 Brilliance Ter,Bentonville,AR,72713,821600,4,3.5,Aurora Sub Ph I Bentonville,3235,11761,2023,1,254,,Active,,,https://www.redfin.com/AR/Bentonville/6707-SW-Brilliance-Ter-72713/home/181979514,NWARMLS,1246002,N,Y,36.308785,-94.252662
MLS Listing,,Single Family Residential,1700 NW Angel Falls Rd,Bentonville,AR,72712,892000,4,4.0,Angel Falls North Bentonville,3717,30927,2015,1,240,50,Active,,,https://www.redfin.com/AR/Bentonville/1700-NW-Angel-Falls-Rd-72712/home/117676688,NWARMLS,1245963,N,Y,36.3886559,-94.2429083
MLS Listing,,Single Family Residential,2603 SW Lancastor St,Bentonville,AR,72712,380000,4,2.0,Maidstone Sub Bentonville,2001,10018,2002,1,190,,Active,,,https://www.redfin.com/AR/Bentonville/2603-SW-Lancastor-St-72712/home/115422184,NWARMLS,1245786,N,Y,36.3666683,-94.2413061
MLS Listing,,Single Family Residential,1741 Quailridge Way,Bentonville,AR,72713,620000,4,3.5,Quailridge,3710,13068,2012,2,167,33,Active,,,https://www.redfin.com/AR/Bentonville/1741-Quailridge-Way-72713/home/114910345,NWARMLS,1245482,N,Y,36.3432425,-94.2547096
MLS Listing,,Single Family Residential,5004 SW Go Green Ave,Bentonville,AR,72712,420000,4,2.5,Kerelaw Castle Bentonville,2774,21344,2018,2,151,,Active,,,https://www.redfin.com/AR/Bentonville/5004-SW-Go-Green-Ave-72712/home/115768806,NWARMLS,1245949,N,Y,36.3639995,-94.268872
MLS Listing,,Single Family Residential,12541 Saddlesprings Rd,Bentonville,AR,72712,1100000,4,4.5,15-20-30 Rural,3734,317988,2004,3,295,,Active,,,https://www.redfin.com/AR/Bentonville/12541-Saddlesprings-Rd-72712/home/116169054,NWARMLS,1245472,N,Y,36.4098107,-94.1616343
MLS Listing,,Single Family Residential,4604 Chancery St,Bentonville,AR,72713,569000,4,3.5,Brighton Heights Sub Bentonville,2828,9583,2006,3,201,29,Active,,,https://www.redfin.com/AR/Bentonville/4604-SW-Chancery-St-72713/home/115956347,NWARMLS,1245924,N,Y,36.3268409,-94.2373041
MLS Listing,,Single Family Residential,12793 Galyean Rd,Bentonville,AR,72712,285000,3,1.0,18-20-31-RURAL,1485,43560,1979,3,192,,Active,,,https://www.redfin.com/AR/Bentonville/12793-Galyean-Rd-72712/home/115479595,NWARMLS,1245919,N,Y,36.4168112,-94.3197142
MLS Listing,,Single Family Residential,808 13th St,Bentonville,AR,72712,520000,3,2.5,Curtis Heights Bentonville,2050,8712,2022,4,254,,Active,,,https://www.redfin.com/AR/Bentonville/808-NW-13th-St-72712/home/181976339,NWARMLS,1245078,N,Y,36.3875699,-94.219515
MLS Listing,,Single Family Residential,1605 NW Santorini Ln,Bentonville,AR,72712,686880,4,2.5,Angel Falls,2544,20037,2015,4,270,54,Active,,,https://www.redfin.com/AR/Bentonville/1605-NW-Santorini-Ln-72712/home/117673916,NWARMLS,1245841,N,Y,36.3881828,-94.2413661
MLS Listing,,Single Family Residential,10046 Spanker Creek Rd,Bentonville,AR,72712,2200000,6,5.0,03-20-30-RURAL,3786,655578,1999,4,581,,Active,,,https://www.redfin.com/AR/Bentonville/10046-Spanker-Creek-Rd-72712/home/115815805,NWARMLS,1245709,N,Y,36.4338354,-94.1583748
